fips,Ratio
39071,0.006457651
27145,0.006404138
26131,0.00638125
55105,0.006344574
37013,0.006232195
17075,0.006230285
31053,0.006171803
17179,0.006146816
21219,0.00614186
18177,0.006109507
37025,0.006067251
31001,0.006028157
36099,0.006016557
27005,0.005968377
29107,0.005965797
23015,0.005959246
27109,0.005794329
17187,0.005792731
31177,0.005775634
17071,0.005750322
17021,0.005735394
18049,0.00573419
26081,0.005731012
19137,0.005714158
39059,0.005659069
31185,0.00565342
19049,0.005616485
31119,0.005556545
17011,0.005534225
20115,0.00547222
18109,0.005376601
18161,0.005329971
31139,0.005307327
17073,0.005250161
46005,0.005189866
31151,0.005170435
31145,0.00511633
39159,0.005104851
39157,0.005031331
35031,0.004981608
18051,0.004951737
46045,0.004943736
47131,0.004843389
17173,0.004841548
39163,0.004828952
34009,0.004761573
18027,0.00472434
26063,0.004723757
18083,0.004718255
48471,0.004701161
31043,0.004686919
26121,0.004611307
39069,0.004567987
26037,0.004433412
26149,0.004377537
20113,0.004343128
31059,0.004330306
48131,0.004330126
31179,0.004295122
18125,0.004245905
36117,0.004241495
31067,0.004216108
46015,0.004189401
40061,0.004186189
29045,0.004167666
42007,0.004128004
39067,0.004091139
29173,0.004087665
39091,0.004071842
31147,0.00402171
39051,0.004010404
18175,0.003965794
31159,0.003940563
39057,0.003910587
18079,0.00387861
48351,0.003854776
17171,0.003850959
18151,0.003793984
48019,0.003774762
53055,0.003771031
48137,0.003753421
30035,0.003734549
36101,0.003688502
18147,0.003669321
30073,0.003642772
19193,0.003605144
48281,0.003601798
6057,0.003593353
39029,0.003585863
38095,0.003557186
19007,0.003556189
17175,0.003500216
27151,0.00347057
31181,0.003459848
20015,0.003450793
48265,0.003447361
30101,0.003424692
46051,0.003416762
42027,0.00338108
48323,0.003356307
20059,0.003311056
55127,0.003278474
46099,0.003275584
17111,0.003266617
39109,0.00325984
48339,0.003245203
5143,0.003233827
17051,0.003209998
37075,0.00320428
18011,0.003190494
4005,0.003175565
30051,0.003175034
17137,0.003165747
55053,0.003136243
17029,0.00312469
45069,0.00312252
48237,0.003110286
46135,0.003084548
17081,0.003065611
42127,0.003008753
39075,0.002981836
48411,0.002965015
5053,0.002931226
18035,0.002889959
17133,0.00288486
42077,0.002879805
17197,0.002875846
26157,0.002829696
48211,0.002798951
46029,0.00278649
46115,0.002782107
53029,0.002777296
35055,0.002770389
30041,0.002768711
39095,0.002758861
12003,0.00275077
37173,0.002744153
54073,0.002720998
8093,0.00269802
47133,0.002690155
36097,0.002679664
26111,0.002678178
53009,0.002669588
20079,0.002659457
46057,0.002644129
19085,0.002610152
48343,0.002600649
47107,0.002582394
27153,0.00253995
21205,0.002524289
24043,0.002522518
21003,0.002520457
48475,0.00251618
40125,0.002501034
17167,0.002499386
51051,0.002486046
6009,0.002451254
33009,0.002414845
48081,0.00240823
36025,0.002357842
36105,0.002353877
25015,0.002348295
55069,0.00234557
37145,0.00232222
4001,0.002309149
46123,0.002278874
13127,0.002269211
35017,0.002256116
